V0,dV,td1,td2
74.85309183597565,71.07169911265373,20.05438604593277,30.069731698036193
77.2783613204956,62.87326071411371,21.08123112201691,25.385037349462507
65.08852511644363,68.02183151245117,22.651795349121095,23.45108004212379
61.95102587342262,69.3824677169323,24.689834167957308,32.048089778423304
69.36832219362259,64.55321557819843,18.925241560935973,35.790322709083554
79.91776406764984,67.69093334674835,23.08460700273514,22.285543237924575
63.93805056810379,75.97817540168762,16.783128762245177,38.85900776624679
66.31561115384102,62.381318248808384,21.40934019327164,24.53164861679077
63.386996537446976,64.47683408856392,17.187017168998718,26.516153386831284
78.94660413265228,62.868785709142685,19.14950376033783,33.93960164308548
66.46067261695862,79.97078210115433,21.669557297229765,18.50800095140934
69.23936873674393,69.28226709365845,25.233264219760898,14.910323857069017
82.87768542766571,65.26361726224422,24.120404884815215,18.418534592986106
60.35398559644818,60.93755032867193,23.375300030708313,19.455523198843004
68.50234150886536,74.94468003511429,25.5427591252327,16.03974245041609
71.69423192739487,71.69313564896584,19.3134792137146,21.112990708351134
80.80793738365173,64.72370721399784,23.510016210079193,31.697658076286313
64.71799582242966,82.57612347602844,17.14604083120823,24.53411407113075
66.36040449142456,69.24150869250298,24.896238842010497,30.671721432209015
71.75762951374054,75.18926471471786,23.439058284759522,24.127875502109525
